"Fecha Tiempo, GMT-05:00","Tipo K, °C (SEN S/N: 20939342, LBL: T 2p)","Tipo T, °C (SEN S/N: 20939342, LBL: T 2C)","Tipo K, °C (SEN S/N: 20939342, LBL: T 2iv)","Tipo K, °C (SEN S/N: 20939342, LBL: T 2ev)"
01/05/24 21:09:00,-888.88,21.81,19.99,18.89
01/05/24 21:10:00,-888.88,21.81,19.96,18.81
01/05/24 21:11:00,-888.88,21.83,19.87,18.81
01/05/24 21:12:00,-888.88,21.79,19.97,18.75
01/05/24 21:13:00,-888.88,21.69,19.92,18.71
01/05/24 21:14:00,-355.86,21.64,19.85,18.71
01/05/24 21:15:00,-275.40,21.65,19.84,18.76
01/05/24 21:16:00,-195.37,21.58,19.71,18.62
01/05/24 21:17:00,-156.43,21.53,19.66,18.57
01/05/24 21:18:00,-121.72,21.45,19.71,18.55
01/05/24 21:19:00,-100.13,21.46,19.66,18.47
01/05/24 21:20:00,-67.36,21.46,19.58,18.47
01/05/24 21:21:00,-43.24,21.46,19.55,18.40
01/05/24 21:22:00,-27.60,21.38,19.52,18.34
01/05/24 21:23:00,-10.26,21.32,19.49,18.36
01/05/24 21:24:00,9.71,21.35,19.38,18.34
01/05/24 21:25:00,25.73,21.19,19.44,18.22
01/05/24 21:26:00,39.94,21.21,19.34,18.21
01/05/24 21:27:00,52.64,21.27,19.31,18.18
01/05/24 21:28:00,66.90,21.17,19.30,18.17
01/05/24 21:29:00,84.24,21.14,19.22,18.13
01/05/24 21:30:00,100.96,21.14,19.13,18.08
01/05/24 21:31:00,117.15,21.01,19.10,18.09
01/05/24 21:32:00,126.85,21.05,19.15,18.10
01/05/24 21:33:00,135.23,20.95,19.02,18.01
01/05/24 21:34:00,155.28,20.91,18.99,17.99
01/05/24 21:35:00,175.88,20.90,18.96,18.02
01/05/24 21:36:00,186.34,20.80,19.04,17.99
01/05/24 21:37:00,204.66,20.81,18.94,17.93
01/05/24 21:38:00,225.54,20.78,18.89,17.92
01/05/24 21:39:00,237.33,20.73,18.95,17.88
01/05/24 21:40:00,244.76,20.70,18.87,17.83
01/05/24 21:41:00,260.80,20.66,18.82,17.81
01/05/24 21:42:00,277.04,20.60,18.79,17.79
01/05/24 21:43:00,289.65,20.58,18.75,17.74
01/05/24 21:44:00,298.86,20.68,18.74,17.71
01/05/24 21:45:00,310.97,20.64,18.77,17.73
01/05/24 21:46:00,329.93,20.50,18.73,17.66
01/05/24 21:47:00,342.91,20.48,18.61,17.65
01/05/24 21:48:00,359.07,20.41,18.58,17.64
01/05/24 21:49:00,372.06,20.41,18.58,17.69
01/05/24 21:50:00,378.64,20.41,18.57,17.72
01/05/24 21:51:00,391.47,20.35,18.56,17.68
01/05/24 21:52:00,404.36,20.38,18.52,17.57
01/05/24 21:53:00,416.64,20.38,18.52,17.58
01/05/24 21:54:00,428.57,20.24,18.48,17.63
01/05/24 21:55:00,438.84,20.28,18.43,17.59
01/05/24 21:56:00,447.82,20.22,18.43,17.52
01/05/24 21:57:00,460.28,20.15,18.39,17.53
01/05/24 21:58:00,471.50,20.11,18.31,17.52
01/05/24 21:59:00,481.09,20.13,18.37,17.44
01/05/24 22:00:00,495.12,20.06,18.30,17.43
01/05/24 22:01:00,505.71,20.07,18.25,17.39
01/05/24 22:02:00,522.34,19.98,18.30,17.38
01/05/24 22:03:00,538.63,20.02,18.24,17.38
01/05/24 22:04:00,555.98,19.96,18.25,17.41
01/05/24 22:05:00,566.73,19.90,18.18,17.34
01/05/24 22:06:00,574.77,19.97,18.14,17.31
01/05/24 22:07:00,580.19,19.95,18.10,17.26
01/05/24 22:08:00,592.01,19.85,18.09,17.29
01/05/24 22:09:00,607.14,19.85,18.08,17.24
01/05/24 22:10:00,626.25,19.84,18.06,17.28
01/05/24 22:11:00,642.92,19.83,18.03,17.25
01/05/24 22:12:00,654.80,19.79,18.03,17.27
01/05/24 22:13:00,666.77,19.79,17.99,17.24
01/05/24 22:14:00,676.00,19.74,18.02,17.28
01/05/24 22:15:00,680.45,19.72,17.99,17.23
01/05/24 22:16:00,686.78,19.69,17.96,17.29
01/05/24 22:17:00,689.70,19.65,17.97,17.28
01/05/24 22:18:00,687.11,19.66,18.00,17.30
01/05/24 22:19:00,691.41,19.67,17.97,17.44
01/05/24 22:20:00,703.27,19.64,17.94,17.45
01/05/24 22:21:00,709.43,19.63,17.95,17.38
01/05/24 22:22:00,716.24,19.59,17.98,17.52
01/05/24 22:23:00,723.29,19.59,18.01,17.51
01/05/24 22:24:00,721.72,19.60,18.03,17.49
01/05/24 22:25:00,724.41,19.58,18.00,17.61
01/05/24 22:26:00,735.62,19.59,18.08,17.60
01/05/24 22:27:00,748.33,19.59,18.13,17.67
01/05/24 22:28:00,759.63,19.59,18.11,17.76
01/05/24 22:29:00,768.52,19.62,18.12,17.75
01/05/24 22:30:00,776.14,19.61,18.17,17.75
01/05/24 22:31:00,786.83,19.62,18.25,17.86
01/05/24 22:32:00,796.63,19.60,18.31,17.92
01/05/24 22:33:00,812.19,19.63,18.20,17.94
01/05/24 22:34:00,826.20,19.61,18.28,17.93
01/05/24 22:35:00,833.93,19.66,18.33,18.05
01/05/24 22:36:00,839.77,19.62,18.32,18.02
01/05/24 22:37:00,847.86,19.60,18.34,18.10
01/05/24 22:38:00,856.37,19.65,18.44,18.17
01/05/24 22:39:00,866.44,19.64,18.44,18.13
